nombre_entidad,nit_entidad,anno_paa,ppto_total,limite_menor_cuantia,limite_minima_cuantia,fecha_cargue,departamento_paa,municipio_paa
BOGOT DC  IED GARCES NAVAS,No Definido-9,2022,246558115269.0,280000000.0,28000000.0,2022-06-06,Bogotá D.C.,Bogotá D.C.
CALDAS  ALCALDA MUNICIPIO DE LA MERCED,892099234-9,2022,3903573336.0,280000000.0,28000000.0,2022-01-26,Caldas,La Merced
  SANTANDER  CONCEJO MUNICIPAL DE CURITI  CURITI  ,800099489,2021,16570313.0,254387280.0,25438728.0,2021-01-30,Santander,Curití
T;OLIMA  PERSONERA MUNICIPIO DE DOLORES,809000973-6,2021,6119782.0,4500000.0,1619782.0,2021-01-30,Tolima,Dolores
CUNDINAMARCA  ALCALDA MUNICIPIO DE SUBACHOQUE,891180191-2-9,2021,1183332038823.0,254387280.0,25438728.0,2021-12-02,Cundinamarca,Subachoque
  CUNDINAMARCA  INSTITUCIN EDUCATIVA MUNICIPAL SILVERIA ESPINOSA DE RENDN  FACATATIV  ,832006418-5,2022,76350000.0,270000000.0,20000000.0,2022-01-31,Cundinamarca,Facatativá
BOGOT DC  IED /LUIS CARLOS GALAN SARMIENTO,No Definido,2021,117849000.0,254387280.0,25438728.0,2021-01-28,Bogotá D.C.,Bogotá D.C.
VALLE DEL CAUCA  PERSONERA MUNICIPAL DE BUGALAGRANDE,90000785-0,2020,9080000.0,245784840.0,24578484.0,2020-06-16,Valle del Cauca,Bugalagrande
TOLIMA  ALCALDA MUNICIPIO DE VILLARRICA,800100147-2,2021,260000000000.0,25438728000.0,2543872800.0,2022-03-04,Tolima,Villarrica
SANTANDER  CONCEJO MUNICIPIO DE ONZAGA,890208148-5-2,2021,22270375.0,254387280.0,25438728.0,2021-01-29,Santander,Onzaga
ANTIOQUIA  ESE HOSPITAL SANTA LUCIA  FREDONIA,890980181-7,2021,3185700000.0,89995506.0,22498877.0,2021-01-29,Antioquia,Fredonia
MAGDALENA  PERSONERA MUNICIPIO DE ARACATACA,819002390-8,2021,8100000.0,254387280.0,25438728.0,2021-12-13,Magdalena,Aracataca
CONSEJO PROFESIONAL DE INGENIERA DE PETRLEOS  CPIP,860532782-5,2022,52738793.0,280000000.0,28000000.0,2022-01-25,Bogotá D.C.,Bogotá D.C.
BOLVAR  PERSONERA MUNICIPAL DE SANTA ROSA NORTE,806001076,2023,17400000000.0,324800000.0,32480000.0,2023-01-31,Bolívar,Santa Rosa de Lima
RISARALDA  INSTITUCIN EDUCATIVA EL DORADO  PEREIRA,816006283-9,2020,77960525.0,175560000.0,17556000.0,2020-01-28,Risaralda,Pereira
CUNDINAMARCA  INSTITUCIN EDUCATIVA DEPARTAMENTAL RICARDO HINESTROZA DAZA  LA VEGA,832000507-3,2022,194184875.0,280000000.0,28000000.0,2022-07-12,Cundinamarca,La Vega
SANTANDER  ALCALDA MUNICIPIO DE LA PAZ,899999369-1-8,2021,5515835859.0,254387280.0,25438728.0,2021-01-31,Santander,La Paz
CALDAS  INSTITUTO UNIVERSITARIO DE MANIZALES,800112968,2022,264840720.0,25438728.0,24578484.0,2022-01-31,Caldas,Manizales
RISARALDA  INSTITUCIN EDUCATIVA SAN FERNANDO  PEREIRA,816004731,2022,108253304.0,254387280.0,25438728.0,2022-01-27,Risaralda,Pereira
CASANARE  ALCALDA MUNICIPIO DE CHAMEZA,800086017-5,2021,282481463100.0,25438728000.0,2543872800.0,2021-09-29,Casanare,Chameza
CUNDINAMARCA  INSTITUCIN EDUCATIVA LA MERCED  MOSQUERA,899999105-3,2022,280000000.0,28000000.0,71122.0,2022-07-11,Cundinamarca,Mosquera
ARAUCA  INSTITUCIN EDUCATIVA PEDRO NEL JIMNEZ  ARAUQUITA,834001373,2021,73920583.0,254387280.0,25438728.0,2021-01-28,Arauca,Arauca
  NARIÑO  INSTIT{UCIN EDUCATIVA JUAN XXIII  ,800209877-1,2021,176208099.0,254387280.0,25438728.0,2021-01-29,Nariño,Puerres
TOLIMA  INSTITUCIN EDUCATIVATCNICACIUDAD DE IBAGU,809004932,2022,270501000.0,280000000.0,28000000.0,2022-01-30,Tolima,Ibagué
  CESARINSTITUCION EDUCATIVA JOAQUIN OCHOA MAESTREVALLEDUPAR  ,824001705-1,2022,27000000.0,20000000.0,20000000.0,2022-02-05,Cesar,Valledupar
TOLIMA  ESE HOSPITAL RICARDO ACOSTA  PALOCABILDO,809004280-1,2021,951455962.0,156200000.0,62499360.0,2021-02-05,Tolima,Palocabildo
CALDAS  CONCEJO MUNICIPIO DE SALAMINA,890801131-3,2021,16382647.0,254387280.0,25438728.0,2021-02-02,Caldas,Salamina
LA GUAJIRA  ALCALDA MUNICIPIO DE EL MOLINO,890702015-2-0,2021,1309580098936.0,254387280.0,25438728.0,2021-07-06,La Guajira,El Molino
BOYAC  ALCALDA MUNICIPIO DE CHIQUINQUIR,890208098-5,2021,2841799974840.0,25438728000.0,2543872800.0,2021-01-26,Boyacá,Chiquinquirá
NARIÑO  INSTITUCION EDUCATIVA AGROPECUARIA LA VEGA  SAN BERNARDO,814001614-7,2021,35950317.0,254387280.0,25438728.0,2021-01-31,Nariño,San Bernardo
BOYAC  INSTITUCIN EDUCATIVA TCNICA SAN LUIS,800024418,2022,114666500.0,280000000.0,28000000.0,2022-01-18,Boyacá,Garagoa
META  INSTITUCIN EDUCATIVA JOSE ANTONIO GALAN  CUMARAL,892099118-8,2022,219515037.0,280000000.0,28000000.0,2022-01-31,Meta,Cumaral
NARIÑO  INSTITUCIN EDUCATIVA TOMS ARTURO SNCHEZ  IPIALES,837000199-8,2022,23469623083.0,200000000.0,20000000.0,2022-03-08,Nariño,Ipiales
AMAZONAS  INSTITUCIN EDUCATIVA VILLA CARMEN  TARAPAC,900379187-4,2021,52600000.0,18170520.0,40883670.0,2021-02-11,Amazonas,Tarapacá
CALDAS  INSTITUCIN EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA ESCOLASTICA  SALAMINA,810002307,2022,83000000.0,280000000.0,28000000.0,2022-01-31,Caldas,Salamina
ANTIOQUIA  INSTITUCIN EDUCATIVA ALEJANDRO VLEZ BARRIENTOS  ENVIGADO,811019968,2022,106431283.0,280000000.0,28000000.0,2022-02-03,Antioquia,Envigado
SUCRE  CONCEJO MUNICIPIO DE SINCELEJO,823000135-1,2021,505139383.0,254387280.0,25438728.0,2021-12-31,Sucre,Sincelejo
"TOLIMA  INSTITUCIN EDUCATIVA SAN PEDRO ALEJAND""RINO",800060302-3,2022,78507312.0,280000000.0,28000000.0,2022-01-31,Tolima,Ibagué
BOGOT DC  IED PROSPERO PINZON,No Definido-3,2021,101934321.0,254387280.0,25438728.0,2021-01-29,Bogotá D.C.,Bogotá D.C.
TOLIMA  CONCEJO MUNICIPIO DE CAJAMARCA,809004404,2022,122680000.0,280000000.0,28000000.0,2022-01-31,Tolima,Cajamarca
BOYAC  CONCEJO MUNICIPIO DE TOPAGA,900230962-7,2021,14000000.0,25438728.0,25438729.0,2021-01-29,Boyacá,Tópaga
ARAUCA  INSTITUCIN EDUCATIVA ANTONIO NARIÑO,800162681,2021,6980000000.0,254387280.0,25438728.0,2021-01-30,Arauca,Saravena
SUCRE  ALCALDA MUNICIPIO DE SAN PEDRO,891801369-2,2022,44351600000.0,280000000.0,28000000.0,2022-01-31,Sucre,San Pedro
META  INSTITUCIN UNIDAD EDUCATIVA SEIS DE ABRIL  VILLAVICENCIO,822001951,2022,0.0,0.0,0.0,2022-12-30,Meta,Villavicencio
BOYAC  ALCALDA MUNICIPIO DE VIRACACH,891801347,2022,28588495467.0,280000000.0,28000000.0,2022-09-01,Boyacá,Viracachá
"CUN""DINAMARCA  INSTITUCIN EDUCATIVA RURAL DEPARTAMENTAL SAN BERNARDO  SASAIMA",832004039-0,2023,54942545.0,231872480.0,23187248.0,2023-03-24,Cundinamarca,Sasaima
NARIÑO  PERSONERA MUNICIPIO DE IMUES,814007203,2022,20200000.0,280000000.0,28000000.0,2022-01-11,Nariño,Imués
CALDAS  INSTITUCIN EDUCATIVA( ROMERAL  MANZANARES,900052877,2022,32320000.0,280000000.0,28000000.0,2022-01-25,Caldas,Manzanares
CALDAS  INSTITUCION EDUCATIVA LA MERMITA,810005240-8,2021,61469411.0,254387280.0,25438728.0,2021-01-26,Caldas,Aguadas
PUTUMAYO  INSTITUCION EDUCATIVA RURAL AFAN  MOCOA,846003515,2021,8128000000.0,254387280.0,25438728.0,2021-01-28,Putumayo,San Miguel de Mocoa
VALLE DEL CAUCA  INSTITUCIN EDUCATIVA JOS ANTONIO GALN  CALI,805009497,2021,17374973600.0,280.0,28.0,2021-12-31,Valle del Cauca,Cali
  CALDAS  INSTITUCIN EDUCATIVA MONTEBONITO  ,810001864-2,2022,22000000.0,280000000.0,28000000.0,2022-01-31,Caldas,Marulanda
CUNDINAMARCA  PERSONERA MUNICIPIO DE LENGUAZAQUE,899999330-5-7,2021,7708000.0,254387280.0,254387280.0,2021-01-29,Cundinamarca,Lenguazaque
ATLNTICO  INSTITUCIN UNIVERSITARIA  ITSA,802011065,2021,28637831972102.0,254387280.0,25438728.0,2021-06-21,Atlántico,Barranquilla
  VALLE DEL CAUCA  INSTITUCIN EDUCATIVA EVA RIASCOS PLATA  CALI  ,805009781-7,2021,0.0,0.0,0.0,2021-01-31,Valle del Cauca,Cali
  AMAZONAS  INSTITUCIN EDUCATIVA SAN JOS > LA PEDRERA  ,900379177-2,2021,64600000.0,18170520.0,40883670.0,2021-02-11,Amazonas,La Pedrera
BOYAC  CONCEJO MUNICIPIO DE MIRAFLORES,820004411-5,2021,19162257.0,254387280.0,25438728.0,2021-10-20,Boyacá,Miraflores
VICHADA  CONCEJO MUNICIPIO DE PUERTO CARREÑO,892099305-3,2021,34500000.0,254387280.0,25438728.0,2021-02-05,Vichada,Puerto Carreño
HUILA  ESE HOSPITA=L LAURA PERDOMO DE GARCA  YAGUARA,813003431,2022,105599032500.0,6000000000.0,50000000000.0,2022-01-25,Huila,Yaguará
RISARALDA  INSTITUCIN EDUCATIVA EL DORADO  PEREIRA,816006283,2022,71584068.0,280000000.0,28000000.0,2022-01-30,Risaralda,Pereira
TOLIMA  ALCALDA MUNICIPIO DE ANZOATEGUI,890983824-9,2023,517624899886.0,324000000.0,32400000.0,2023-01-31,Tolima,Anzoátegui
CUNDINAMARCA  CONCEJO MUNICIPAL DE VENECIA,890680088,2023,168406050.0,324800000.0,32480000.0,2023-01-30,Cundinamarca,Venecia
CUNDINAMARCA  ESE POLCLNICO DE JUNN,900000427,2021,100922579026.0,63596820.0,63596820.0,2021-02-01,Cundinamarca,Junín
ANTIOQUIA  INSTITUCIN EDUCATIVA DBORA ARANGO PREZ  MEDELLIN,900196642,2022,84026639.0,0.0,20000000.0,2022-01-26,Antioquia,Medellín
RISARALDA  ESE HOSPITAL SAN PEDRO Y SAN PABLO  LA VIRGINIA,891401643,2022,9165712021469.0,280000000.0,28000000.0,2022-01-29,Risaralda,La Virginia
ANTIOQUIA  INSTITUCIN EDUCATIVA BARRIO OLAYA HERRERA  MEDELLN,811042295,2022,104772733.0,245560000.0,24556000.0,2022-02-01,Antioquia,Medellín
SUCRE  ALCALDA MUNICIPIO DE LOS PALMITOS,892201287-2,2022,27040440306.0,280000000.0,28000000.0,2022-01-31,Sucre,Buenavista
CALDAS  HOSPITAL SAN RAFAEL DE RISARALDA,890801235-4,2021,2039475254908.0,23187248.0,12719364.0,2021-04-23,Caldas,Risaralda
PUTUMAYO  CENTRO EDUCATIVO RURAL SAUDITA  PUERTO GUZMAN,846004233,2021,107700000.0,254387280.0,25438728.0,2021-01-28,Putumayo,Puerto Guzmán
BOYAC  CONCEJO MUNICIPIO DE GUAYAT,900005016-2,2022,1097000000.0,2800000000.0,123122.0,2022-01-31,Boyacá,Guayatá
BOLVAR  CENTRO EDUCATIVO DE MONTERREY  SIMITI,829003479-5,2021,48954000.0,254387280.0,25438728.0,2021-01-31,Bolívar,Simití
QUINDO  CONCEJO MUNICIPIO DE MONTENEGRO,890000858-1-2,2021,39750000.0,245784840.0,24578484.0,2021-01-31,Quindío,Montenegro
NARIÑO  ALCALDA MUNICIPIO DE EL CHARCO,800099076-8,2023,3448764508.0,245784840.0,32480000.0,2023-02-01,Nariño,El Charco
META  INSTITUTO MUNICIPAL DE CULTURA DE RESTREPO META,901041055-8,2023,1128450000.0,324800000.0,32480000.0,2023-05-11,Meta,Restrepo
CUNDINAMARCA  PERSONERA MUNICIPIO DE GUATAQU,800011271-9,2023,15202805.0,324800000.0,32480000.0,2023-03-30,Cundinamarca,Guataquí
CUNDINAMARCA  INSTITUCION EDUCATIVA CIUDAD VERDE  SOACHA,901359779-5,2022,320020360.0,280000000.0,28000000.0,2022-04-14,Cundinamarca,Soacha
HUILA  EMPRESA MUNICIPAL DE SERVICIOS PBLICOS EMPUBARAYA ESP  BARAYA,813013343-2,2022,262405669.0,500000000.0,250000000.0,2022-06-21,Huila,Baraya
META  ALCALDA MUNICIPIO DE LA MACARENA,892099234,2021,20582435510.0,254387280.0,25438728.0,2021-06-01,Meta,La Macarena
TOLIMA  INSTITUCIN EDUCATIVA EL RUBI  PLANADAS,809005164,2023,8800000000.0,32480000000.0,3248000000.0,2023-01-31,Tolima,Planadas
CASANARE  INSTITUTO TCNICO AMBIENTAL  YOPAL,900152645,2022,310096655.0,20000000.0,28000000.0,2022-03-14,Casanare,Yopal
CUNDINAMARCA  PERSONERA MUNICIPAL DE FACATATIV,899999328-1,2021,256021000.0,254387280.0,25438728.0,2021-12-01,Cundinamarca,Facatativá
GUAVIARE  ALCALDA MUNICIPIO DE MIRAFLORES,800103198-6,2020,8173033080.0,245784840.0,24578484.0,2020-11-20,Guaviare,Miraflores
SANTANDER  PERSONERA MUNICIPIO DE PALMAR,800099818-5,2022,35400000.0,280000000.0,28000000.0,2022-01-25,Santander,Palmar
LA GUAJIRA  PERSONERA MUNICIPIO DE URUMITA,825000359,2023,12100000.0,324000000.0,32400000.0,2023-01-31,La Guajira,Urumita
  NORTE DE SANTANDER  CONCEJO MUNICIPIO DE LOS PATIOS  ,900026303,2021,206919467.0,245784840.0,24578484.0,2021-01-28,Norte De Santander,Los Patios
MAGDALENA  ALCALDA MUNICIPIO DE SAN SEBASTIN DE BUENAVISTA,891780054-4,2021,6007200000.0,250431168.0,25431168.0,2021-01-29,Magdalena,San Sebastián de Buenavista
  CRDOBA  INSTITUCIN EDUCATIVA MOGAMBO  MONTERA  ,812002061,2022,292902911.0,280000000.0,28000000.0,2022-12-30,Córdoba,Montería
BOLVAR  INSTITUCIN EDUCATIVA TECNICA AGROINDUSTRIAL DE SAN PABLO,806013392-2,2021,136188000.0,254387280.0,25438728.0,2021-01-31,Bolívar,María La Baja
CESAR  INSTITUCION EDUCATIVA INSTITUTO TECNICO AGROPECUARIO  TAMALAMEQUE,800251728,2022,96572693.0,280000000.0,20000000.0,2022-01-31,Cesar,Tamalameque
ANTIOQUIA  ESE HOSPITAL EL CARMEN DE AMALFI,890982101,2021,2898569252.0,43890150.0,18170520.0,2021-04-30,Antioquia,Amalfi
META  INSTITUCIN EDUCATIVA ANTONIO NARIÑO  VILLAVICENCIO,822000470-8,2021,134215628.0,254387280.0,25438728.0,2021-07-30,Meta,Villavicencio
CALDAS  INSTITUCIN EDUCATIVA PIO XII,810005772-0,2020,65349280.0,245784840.0,24578484.0,2020-04-28,Caldas,Salamina
VALLE DEL CAUCA  ESE HOSPITAL LUISA ABLANQUE DE LA PLATA DEL DISTRITO DE BUENAVENTURA,835000972-0,2022,40250594562.0,3000000000.0,1500000000.0,2022-01-28,Valle del Cauca,Buenaventura
SUCRE  INSTITUCIN EDUCATIVA LAS PALMITAS  MAJAGUAL,900031330-1,2021,38700000.0,254387280.0,25438728.0,2021-02-05,Sucre,Majagual
NARIÑO  PERSONERA MUNICIPIO DE FUNES,814002123,2021,20900000.0,25438728.0,25438728.0,2021-01-10,Nariño,Funes
CUNDINAMARCA  CONCEJO MUNICIPAL DE EL ROSAL,832006125-3,2022,57486396.0,280000000.0,28000000.0,2022-01-28,Cundinamarca,El Rosal
META  CENTRO EDUCATIVO RURAL JOSE MARIA GUIOTH  CUMARAL,900134298-9,2022,22500000.0,280000000.0,28000000.0,2022-01-28,Meta,Cumaral
CUNDINAMARCA  INSITUCIN EDUCATIVA RURAL DEPARTAMENTAL EL NARANJAL  TOPAIP,900025965,2022,18224000.0,12887000.0,12887000.0,2022-05-16,Cundinamarca,Topaipí
  AMAZONAS  INSTITUTO DEPARTAMENTAL DEL DEPORTE Y RECREACIN DEL AMAZONAS  LETICIA  ,838000059,2022,731038000.0,1000000.0,28000000.0,2022-02-01,Amazonas,Leticia
MAGDALENA  PERSONERA MUNICIPIO DE CIENAGA,819000588,2022,49594259.0,280000000.0,28000000.0,2022-01-29,Magdalena,Ciénaga
CRDOBA  INSTITUCIN EDUCATIVA JUAN XXIII  MONTERA,812001705-1,2021,0.0,0.0,0.0,2021-01-30,Córdoba,Montería
NARIÑO  INSTITUCIN EDUCATIVA SEBASTIAN BELALCAZAR  SAPUYES,814000507-2,2022,95800000.0,850000000.0,85000000.0,2022-01-27,Nariño,Sapuyes
SANTANDER  PERSONERA MUNICIPIO DE GIRON,804008916,2021,94660000000.0,25438778000.0,2543872800.0,2021-10-27,Santander,Girón
BOGOT DC  IED CANADA,No Definido,2023,103926317.0,324800000.0,32480000.0,2023-01-30,Bogotá D.C.,Bogotá D.C.
HUILA  INSTITUCIN EDUCATIVA ANTONIO RICAURTE  TARQUI,800245716,2022,36052000.0,245754840.0,24578484.0,2022-01-26,Huila,Tarqui
BOYAC  HOGAR DE BIENESTAR DEL ADULTO MAYOR Y C]ENTRO VIDA EL BUEN CONSEJO DE JENESANO,900989480-9,2021,101059000.0,254387280.0,25438728.0,2021-01-30,Boyacá,Jenesano
NARIÑO  CONCEJO (MUNICIPIO DE NARIÑO NARIÑO,814004462-7,2022,18371632.0,280000000.0,28000000.0,2022-02-01,Nariño,Nariño
AMAZONAS  ALCALDA MUNICIPIO DE PUERTO NARIÑO,890981000-8,2021,1269480924.0,254387280.0,25438728.0,2021-01-29,Amazonas,Puerto Nariño
BOLVAR  CONCEJO MUNICIPIO DE MORALES,829001905,2021,0.0,0.0,0.0,2021-02-01,Bolívar,Morales
CUNDINAMARCA  INSTITUCIN EDUCATIVA DEPARTAMENTAL CAMPO ALEGRE  EL ROSAL,900014719-3,2021,17581679575.0,17581679575.0,17581679575.0,2021-01-20,Cundinamarca,El Rosal
  BOYAC  ALCALDA MUNICIPIO DE SUSACN  ,891856472,2023,319079000000.0,324800000.0,32480000.0,2023-01-23,Boyacá,Susacón
PUTUMAYOINSTITUCION EDUCATIVA JOSE MARIA HERNANDEZPUERTO LEGUIZAMO,800225753-8,2023,131279100.0,324800000.0,32480000.0,2023-01-30,Putumayo,Puerto Leguízamo
BOLVAR  INSTITUTO MUNICIPAL DE TRNSITO Y TRANSPORTE   CLEMENCIA,900563301,2022,659924.0,280000000.0,28000000.0,2022-08-18,Bolívar,Clemencia
NARIÑO  INSTITUCIN EDUCATIVA SAN ANTONIO DE PADUA  POTOS,814006677,2022,8163049700.0,850000000.0,85000000.0,2022-01-26,Nariño,Potosí
"  BOYAC  ALCALDA MU""NICIPIO DE PAZ DEL RO  ",800103659-8,2023,2794511878.0,324800000000.0,32480000.0,2023-02-01,Boyacá,Paz de Río
BOYAC  ALCALD\A MUNICIPIO DE SANTA SOFA,800099651-8,2021,0.0,254387280.0,25438728.0,2021-01-29,Boyacá,Santa Sofía
VALLE DEL CAUCA  INSTITUCIN EDUCATIVA GABO,836000210-3,2022,215336921.0,20000000.0,20000000.0,2022-06-30,Valle del Cauca,Cartago
HUILA  IE LA ULLOA  RIVERA,813011114,2021,88140000.0,254387280.0,25438728.0,2021-03-02,Huila,Rivera
  ANTIOQUIA  ALCALDA MUNICIPIO DE ANDES  ,891900443-4-7,2022,62797039659312.0,280000000.0,28000000.0,2022-01-31,Antioquia,Andes
SUCRE  ALCALDA MUNICIPIO DE GALERAS,800049826-8,2021,538504622000.0,25438728000.0,2543872800.0,2023-04-17,Sucre,Galeras
CALDAS  CONCEJO MUNICIPIO DE SUPIA,890801150-3-3,2021,17182368.0,25438728.0,25438728.0,2021-01-29,Caldas,Supía
SANTANDER  ESE SAN JOS DE GUAVAT,804010394-9,2021,205753233.0,181705200.0,109023120.0,2021-01-31,Santander,Guavatá
NARIÑO  INSTITUCION EDUCATIVA COLEGIO SAGRADO CORAZON DE JESUS  EL ROSARIO,814006897-0,2021,40589759.0,254387280.0,25438728.0,2021-01-25,Nariño,El Rosario
CUNDINAMARCA  INSTITUCION EDUCATIVA SOACHA AVANZA LA UNIDAD  SOACHA,901451420,2021,66925923.0,254387280.0,25438728.0,2022-01-29,Cundinamarca,Soacha
QUINDO  INSTITUCIN EDUCATIVA EL CAIMO ARMENIA,801004646,2022,70139000.0,280000000.0,28000000.0,2022-01-29,Quindío,Armenia
SANTANDER  ESE  HOSPITAL SAN JUAN DE DIOS  BETULIA,800212070,2022,614729000.0,120000000.0,120000000.0,2022-02-15,Santander,Betulia
SUCRE  INSTITUCIN EDUCATIVA SAN JOS CIP  SINCELEJO,823001048,2022,111700000.0,280000000.0,28000000.0,2022-01-26,Sucre,Sincelejo
BOLVAR  INSTITUCIN EDUCATIVA ANTONIO NARIÑO  CARTAGENA,806012071-6,2022,96223320.0,280000000.0,28000000.0,2022-01-31,Bolívar,Cartagena
CHOC  ALCALDA MUNICIPIO DE TADO,891680081-0,2022,33694406742.0,280000000.0,28000000.0,2022-02-12,Chocó,Tadó
NARIÑO  PERSONERA MUNICIPAL DE PASTO,800118712-8,2022,352431100.0,280000000.0,28000000.0,2022-08-02,Nariño,Pasto
CAUCA  ALCALDA MUNICIPIO DE MERCADERES,890701933-4,2023,5662500000.0,324800000.0,32480000.0,2023-01-20,Cauca,Mercaderes
NORTE DE SANTANDER  CONCEJO MUNICIPIO DE SALAZAR DE LAS PALMAS,807002389-4,2023,36320400.0,324800000.0,32480000.0,2023-01-30,Norte De Santander,Salazar de las Palmas
VICHADA  INSTITUTO MU*NICIPAL DE DEPORTE Y RECREACIN IMDER  CUMARIBO,842000177,2021,343549680.0,34354968.0,24578484.0,2021-05-21,Vichada,Cumaribo
AMAZONAS  INSTITUCIN EDUCATIVA MARA AUXILIADORA  LETICIA,900256055,2021,32399863128.0,18170520.0,40883670.0,2021-02-11,Amazonas,Leticia
NARIÑO  ALCALDA MUNICIPIO DE LOS ANDES,800019112-4,2021,18214946647601.0,254838728.0,254838728.0,2021-01-26,Nariño,Los Andes
LA GUAJIRA  INSTITUCION EDUCATIVA RURAL ADOLFO MINDIOLA ROBLES,800188268,2021,54000000.0,18170520.0,18170520.0,2021-02-22,La Guajira,Dibulla
GUAVIARE  INSTITUCIN EDUCATIVA EL RETIRO  SAN JOS DEL GUAVIARE,900356610,2023,37050000.0,324800000.0,32480000.0,2023-01-31,Guaviare,San José del Guaviare
  META  INSTITUCIN EDUCATIVA JOS EUSTASIO RIVERA  CUBARRAL  ,892000680,2021,80955596.0,254387280.0,25438728.0,2021-01-31,Meta,Cubarral
  SUCRE  CONCEJO MUNICIPIO DE COVENAS  ,823004035-4,2023,613223119.0,324800000.0,32480000.0,2023-07-31,Sucre,Coveñas
TOLIMA  INSTITUCIN EDUCATIVA SAN JOSE,809003024-0,2021,104085633.0,254387280.0,25438728.0,2021-10-25,Tolima,Ibagué
  LA GUAJIRA  ALCALDA MUN'ICIPIO DE LA JAGUA DEL PILAR  ,825000676-2,2023,441781111749.0,324800000.0,32480000.0,2023-01-30,La Guajira,La Jagua Del Pilar
SUCRE  INSTITUCIN EDUCATIVA SAN ROQUE  GALERAS,823001022,2022,0.0,0.0,0.0,2022-02-05,Sucre,Galeras
RISARALDA  INSTITUCIN EDUCATIVA EL PITAL  PEREIRA,816007239,2021,60851256.0,254387280.0,25438728.0,2021-01-28,Risaralda,Pereira
BOGOT DC  IE)D ISLA DEL SOL,No Definido-2,2020,0.0,245784840.0,24578484.0,2020-11-17,Bogotá D.C.,Bogotá D.C.
HUILA  ALCALDA MUNICIPIO DE SUAZA,891180191-2-4,2021,21083569838.0,254387280.0,25438728.0,2021-07-22,Huila,Suaza
TOLIMA  INSTITUCIN EDUCATIVA TCNICA PAPAGAL  SALDAÑA,809007513,2021,25412638.0,245784840.0,24578484.0,2021-10-13,Tolima,Saldaña
TOLIMA  HOSPITAL SAN ANTONIO  GUAMO,890701715,2022,3937899746.0,280000000.0,28000000.0,2022-01-29,Tolima,El Guamo
CASANARE  PERSONERA MUNICIPIO DE AGUAZUL,844000196-9,2021,58672692.0,408836700.0,40883670.0,2022-01-03,Casanare,Aguazul
META  IE COLEGIO DEPARTAMENTAL GILBERTO ALZATE AVENDAÑO  VILLAVICENCIO,800191624,2021,109906801.0,254387280.0,25438728.0,2021-07-26,Meta,Villavicencio
META  CENTRO EDUCATIVO HORIZONTES,822005512,2021,164395050.0,254387280.0,25438728.0,2021-01-31,Meta,Puerto Gaitán
BOYAC  ALCALDA MUNICIPIO DE NUEVO COLN,800033062,2021,818905505173.0,25438728.0,254387280.0,2021-08-09,Boyacá,Nuevo Colón
META  INSTITUCIN EDUCATIVA LUIS CARLOS GALN SARMIENTO  PUERTO GAITN,900998483-4,2023,307742477.0,324800000.0,23200000.0,2023-01-31,Meta,Puerto Gaitán
PUTUMAYO  INSTITUCIN EDUCATIVA RURAL L'EONIDAS NORZAGARAY,846000592-1,2022,164531000.0,280000000.0,28000000.0,2022-01-26,Putumayo,Puerto Leguízamo
VALLE DEL CAUCA  INSTITUTO MUNICIPAL PARA EL DESARROLLO SOCIAL Y ECONOMICO  IMDESEPAL,815002334-7,2021,511846009.0,254387280.0,25438728.0,2021-12-14,Valle del Cauca,Palmira
TOLIMA  INSTITUCIN EDUCATIVA DINDALITO CENTRO  ESPINAL,809001546-9,2021,82122802.0,245784840.0,24578484.0,2021-06-30,Tolima,El Espinal
BOYAC  ALCALDA MUNICIPIO DE PAYA,891801368-5-8,2022,1544144206376.0,280000000.0,28000000.0,2022-07-29,Boyacá,Paya
BOYAC  ESE CENTRO DE SALUD SAN MIGUEL  SAN MIGUEL DE SEMA,820003401-1,2021,145400000.0,21925000.0,245560000.0,2021-01-28,Boyacá,San Miguel de Sema
VALLE DEL CAUCA  ALCALDA MUNICIPIO DE ULLOA,899999281-2,2021,2217537752.0,254000000.0,25400000.0,2021-01-29,Valle del Cauca,Ulloa
CAQUET  ALCALDA MUNICIPIO DE EL PAUJIL,800095763-4,2022,17335739263172.0,280000000.0,28000000.0,2022-01-30,Caquetá,El Paujil
SUCRE  CONCEJO MUNICIPIO DE CHALAN,823000804,2022,29400000.0,280000000.0,28000000.0,2022-01-31,Sucre,Chalán
QUINDO  INSTITUCIN EDUCATIVA EUDORO GRANADA  ARMENIA,801003927,2022,85200000.0,280000000.0,28000000.0,2022-01-29,Quindío,Armenia
  ANTIOQUIA  ALCALDA MUNICIPIO DE ANZA  ,800100532-8,2023,15941058241.0,320000000.0,32000000.0,2023-01-31,Antioquia,Anza
RISARALDA  INSTITUCIN EDUCATIVA CARLOS CASTRO SAAVEDRA,816000862-6,2021,92239826.0,245784840.0,24578484.0,2021-01-29,Risaralda,Pereira
TOLIMA  INSTITUCIN EDUCATIVA BILBAO  PLANADAS,900039076-2,2023,107100000.0,324800000.0,32480000.0,2023-01-31,Tolima,Planadas
META  INSTITUCIN  EDUCATIVA  LOS  FUNDADORES  MESETAS,800-040-707-1,2023,90295359.0,324800000.0,23200000.0,2023-01-31,Meta,Mesetas
HUILA  INSTITUCIN EDUCATIVA NILO  PALERMO,813011696-3,2021,2640000000.0,254387280.0,25438728.0,2021-02-09,Huila,Palermo
